Date of death,# killed
2011-03-18,3
2011-03-20,3
2011-03-23,55
2011-03-24,1
2011-03-25,17
2011-03-26,20
2011-03-28,3
2011-03-29,1
2011-03-30,3
2011-04-01,21
2011-04-03,1
2011-04-05,2
2011-04-08,9
2011-04-09,5
2011-04-11,2
2011-04-15,1
2011-04-16,4
2011-04-17,30
2011-04-18,5
2011-04-19,7
2011-04-20,5
2011-04-21,4
2011-04-22,114
2011-04-23,28
2011-04-24,27
2011-04-25,29
2011-04-26,8
2011-04-27,6
2011-04-28,27
2011-04-29,119
2011-04-30,10
2011-05-01,4
2011-05-02,2
2011-05-03,13
2011-05-04,5
2011-05-05,1
2011-05-06,34
2011-05-07,6
2011-05-08,16
2011-05-10,10
2011-05-11,10
2011-05-12,1
2011-05-13,15
2011-05-14,1
2011-05-15,16
2011-05-16,16
2011-05-17,22
2011-05-18,11
2011-05-19,5
2011-05-20,66
2011-05-21,25
2011-05-22,5
2011-05-24,2
2011-05-25,3
2011-05-26,1
2011-05-27,15
2011-05-28,6
2011-05-29,18
2011-05-30,19
2011-05-31,22
2011-06-01,6
2011-06-02,8
2011-06-03,72
2011-06-04,24
2011-06-05,55
2011-06-06,27
2011-06-08,2
2011-06-09,1
2011-06-10,46
2011-06-11,2
2011-06-12,1
2011-06-13,1
2011-06-16,1
2011-06-17,10
2011-06-18,2
2011-06-21,13
2011-06-22,1
2011-06-24,21
2011-06-26,1
2011-06-27,1
2011-06-28,1
2011-06-29,6
2011-06-30,6
2011-07-01,23
2011-07-02,3
2011-07-03,4
2011-07-04,5
2011-07-05,22
2011-07-06,2
2011-07-07,3
2011-07-08,11
2011-07-09,3
2011-07-10,2
2011-07-13,4
2011-07-14,6
2011-07-15,31
2011-07-16,8
2011-07-17,9
2011-07-18,12
2011-07-19,10
2011-07-20,3
2011-07-21,5
2011-07-22,10
2011-07-23,3
2011-07-24,4
2011-07-25,5
2011-07-26,3
2011-07-27,15
2011-07-28,5
2011-07-29,21
2011-07-30,5
2011-07-31,118
2011-08-01,33
2011-08-02,12
2011-08-03,20
2011-08-04,28
2011-08-05,26
2011-08-06,4
2011-08-07,38
2011-08-08,9
2011-08-09,40
2011-08-10,18
2011-08-11,8
2011-08-12,20
2011-08-13,11
2011-08-14,29
2011-08-15,22
2011-08-16,7
2011-08-17,18
2011-08-18,4
2011-08-19,29
2011-08-20,7
2011-08-21,6
2011-08-22,12
2011-08-23,4
2011-08-24,9
2011-08-25,10
2011-08-26,11
2011-08-27,10
2011-08-28,9
2011-08-29,9
2011-08-30,6
2011-08-31,4
2011-09-01,8
2011-09-02,20
2011-09-03,8
2011-09-04,37
2011-09-05,13
2011-09-06,7
2011-09-07,35
2011-09-08,5
2011-09-09,20
2011-09-10,12
2011-09-11,4
2011-09-12,25
2011-09-13,23
2011-09-14,12
2011-09-15,7
2011-09-16,38
2011-09-17,13
2011-09-18,5
2011-09-19,8
2011-09-20,8
2011-09-21,16
2011-09-22,11
2011-09-23,14
2011-09-24,9
2011-09-25,6
2011-09-26,8
2011-09-27,10
2011-09-28,14
2011-09-29,8
2011-09-30,21
2011-10-01,26
2011-10-02,12
2011-10-03,8
2011-10-04,19
2011-10-05,17
2011-10-06,16
2011-10-07,17
2011-10-08,12
2011-10-09,15
2011-10-10,3
2011-10-11,8
2011-10-12,3
2011-10-13,10
2011-10-14,6
2011-10-15,17
2011-10-16,9
2011-10-17,38
2011-10-18,9
2011-10-19,21
2011-10-20,11
2011-10-21,29
2011-10-22,16
2011-10-23,18
2011-10-24,16
2011-10-25,3
2011-10-26,18
2011-10-27,28
2011-10-28,31
2011-10-29,20
2011-10-30,6
2011-10-31,9
2011-11-01,22
